District,Year,Season,Crop,Area,Production,Productivity
NAGPUR,2010,Kharif     ,Jowar,12900,9500,0.736434109
NAGPUR,2010,Kharif     ,Soyabean,242400,287100,1.184405941
NAGPUR,2010,Kharif     ,Sugarcane,300,6200,20.66666667
NAGPUR,2010,Rabi       ,Jowar,3300,1500,0.454545455
NAGPUR,2011,Kharif     ,Jowar,7900,5600,0.708860759
NAGPUR,2011,Kharif     ,Soyabean,241200,157300,0.652155887
NAGPUR,2011,Rabi       ,Jowar,2100,1500,0.714285714
NAGPUR,2011,Whole Year ,Sugarcane,700,48000,68.57142857
NAGPUR,2012,Kharif     ,Jowar,6200,5100,0.822580645
NAGPUR,2012,Kharif     ,Soyabean,237100,238600,1.006326445
NAGPUR,2012,Rabi       ,Jowar,2300,1600,0.695652174
NAGPUR,2012,Whole Year ,Sugarcane,300,22100,73.66666667
NAGPUR,2013,Kharif     ,Jowar,4700,1900,0.404255319
NAGPUR,2013,Kharif     ,Soyabean,232800,99900,0.429123711
NAGPUR,2013,Rabi       ,Jowar,1800,1500,0.833333333
NAGPUR,2013,Whole Year ,Sugarcane,300,20000,66.66666667
NAGPUR,2014,Kharif     ,Jowar,3900,2300,0.58974359
NAGPUR,2014,Kharif     ,Soyabean,220400,79500,0.360707804
NAGPUR,2014,Rabi       ,Jowar,1100,400,0.363636364
NAGPUR,2014,Whole Year ,Sugarcane,3800,258500,68.02631579
NASHIK,2001,Kharif     ,Bajra,324200,179900,0.55490438
NASHIK,2001,Kharif     ,Jowar,12000,10700,0.891666667
NASHIK,2001,Kharif     ,Soyabean,5500,10000,1.818181818
NASHIK,2001,Rabi       ,Jowar,19100,10300,0.539267016
NASHIK,2001,Whole Year ,Sugarcane,23600,1846900,78.25847458
NASHIK,2002,Kharif     ,Bajra,320300,258500,0.807055885
NASHIK,2002,Kharif     ,Jowar,9200,11200,1.217391304
NASHIK,2002,Kharif     ,Soyabean,7500,7900,1.053333333
NASHIK,2002,Rabi       ,Jowar,10100,5300,0.524752475
NASHIK,2002,Whole Year ,Sugarcane,23300,1653000,70.94420601
NASHIK,2003,Kharif     ,Bajra,316800,196700,0.620896465
NASHIK,2003,Kharif     ,Jowar,6900,4600,0.666666667
NASHIK,2003,Kharif     ,Soyabean,8900,20000,2.247191011
NASHIK,2003,Rabi       ,Jowar,9600,4400,0.458333333
NASHIK,2003,Whole Year ,Sugarcane,20400,1159400,56.83333333
NASHIK,2004,Kharif     ,Bajra,315200,244500,0.77569797
NASHIK,2004,Kharif     ,Jowar,6500,8000,1.230769231
NASHIK,2004,Rabi       ,Jowar,10500,5500,0.523809524
NASHIK,2004,Rabi       ,Soyabean,20300,37400,1.842364532
NASHIK,2004,Whole Year ,Sugarcane,12100,672900,55.61157025
NASHIK,2005,Kharif     ,Bajra,282900,215900,0.763167197
NASHIK,2005,Kharif     ,Soyabean,23300,46600,2
NASHIK,2005,Kharif     ,Sugarcane,14300,729500,51.01398601
NASHIK,2006,Kharif     ,Bajra,258500,187300,0.724564797
NASHIK,2006,Kharif     ,Jowar,2500,2000,0.8
NASHIK,2006,Kharif     ,Soyabean,31500,47300,1.501587302
NASHIK,2006,Rabi       ,Jowar,12000,8400,0.7
NASHIK,2007,Kharif     ,Bajra,2158,2395,1.109823911
NASHIK,2007,Kharif     ,Jowar,18,14,0.777777778
