District,Year,Season,Crop,Area,Production,Productivity
YAVATMAL,2011,Rabi       ,Jowar,100,100,1
YAVATMAL,2011,Whole Year ,Sugarcane,4700,330500,70.31914894
YAVATMAL,2012,Kharif     ,Bajra,300,300,1
YAVATMAL,2012,Kharif     ,Jowar,59600,68700,1.152684564
YAVATMAL,2012,Kharif     ,Soyabean,236800,389100,1.643158784
YAVATMAL,2012,Rabi       ,Jowar,200,200,1
YAVATMAL,2012,Whole Year ,Sugarcane,4200,355100,84.54761905
YAVATMAL,2013,Kharif     ,Bajra,100,100,1
YAVATMAL,2013,Kharif     ,Jowar,48300,15600,0.322981366
YAVATMAL,2013,Kharif     ,Soyabean,285600,156600,0.548319328
YAVATMAL,2013,Whole Year ,Sugarcane,6500,490700,75.49230769
YAVATMAL,2014,Kharif     ,Bajra,200,,
YAVATMAL,2014,Kharif     ,Jowar,43100,19200,0.445475638
YAVATMAL,2014,Kharif     ,Soyabean,306000,97600,0.318954248
YAVATMAL,2014,Rabi       ,Jowar,4000,3300,0.825
YAVATMAL,2014,Whole Year ,Sugarcane,8100,553700,68.35802469
